grupo_saude,id_municipio,natureza_juridica_,n,id_micro,id_meso,id_uf,abbrev_uf,nome_micro,nome_meso,nome_uf
OcupOutros_SetorOutros,110001,Outros,414,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110001,Privado,1681,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110001,Publico,740,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110001,Sem Fins Lucrativos,25,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110002,Outros,1266,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110002,Privado,14889,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110002,Publico,2006,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110002,Sem Fins Lucrativos,1113,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110003,Outros,187,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110003,Privado,264,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110003,Publico,294,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110003,Sem Fins Lucrativos,12,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110004,Outros,913,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110004,Privado,14502,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110004,Publico,1840,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110004,Sem Fins Lucrativos,554,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110005,Outros,385,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110005,Privado,1821,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110005,Publico,522,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110005,Sem Fins Lucrativos,128,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110006,Outros,234,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110006,Privado,1626,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110006,Publico,447,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110006,Sem Fins Lucrativos,28,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110007,Outros,720,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110007,Privado,699,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110007,Publico,367,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110007,Sem Fins Lucrativos,6,11008,1102,11,RO,Colorado do Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110008,Outros,114,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110008,Privado,368,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110008,Publico,508,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110008,Sem Fins Lucrativos,13,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110009,Outros,430,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110009,Privado,3962,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110009,Publico,702,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110009,Sem Fins Lucrativos,23,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110010,Outros,104,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110010,Privado,3067,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110010,Publico,929,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110010,Sem Fins Lucrativos,65,11002,1101,11,RO,Guajará-Mirim,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110011,Outros,470,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110011,Privado,8836,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110011,Publico,1243,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110011,Sem Fins Lucrativos,201,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110012,Outros,808,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110012,Privado,24556,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110012,Publico,2253,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110012,Sem Fins Lucrativos,923,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110013,Outros,355,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110013,Privado,2081,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110013,Publico,776,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110013,Sem Fins Lucrativos,24,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110014,Outros,128,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110014,Privado,1231,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110014,Publico,519,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110014,Sem Fins Lucrativos,13,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110015,Outros,256,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110015,Privado,4122,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110015,Publico,1178,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110015,Sem Fins Lucrativos,123,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110018,Outros,769,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110018,Privado,8192,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110018,Publico,1062,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110018,Sem Fins Lucrativos,79,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110020,Outros,3415,11001,1101,11,RO,Porto Velho,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110020,Privado,76680,11001,1101,11,RO,Porto Velho,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110020,Publico,28544,11001,1101,11,RO,Porto Velho,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110020,Sem Fins Lucrativos,4496,11001,1101,11,RO,Porto Velho,Madeira-Guaporé,Rondônia
OcupOutros_SetorOutros,110025,Outros,334,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110025,Privado,1918,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110025,Publico,620,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110025,Sem Fins Lucrativos,47,11004,1102,11,RO,Ji-Paraná,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110026,Outros,411,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110026,Privado,121,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110026,Publico,266,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110026,Sem Fins Lucrativos,13,11003,1102,11,RO,Ariquemes,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110028,Outros,477,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110028,Privado,10796,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110028,Publico,1182,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110028,Sem Fins Lucrativos,114,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110029,Outros,281,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110029,Privado,327,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110029,Publico,271,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110029,Sem Fins Lucrativos,9,11006,1102,11,RO,Cacoal,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110030,Outros,1662,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110030,Privado,21590,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110030,Publico,2420,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110030,Sem Fins Lucrativos,494,11007,1102,11,RO,Vilhena,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110032,Outros,304,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
OcupOutros_SetorOutros,110032,Privado,2494,11005,1102,11,RO,Alvorada D'Oeste,Leste Rondoniense,Rondônia
